Q14,Q19,Q18,Q12,Q11,Q10,Q13,Q15,Q20,Q9,Age,Daily_Usage,Q17,Q16,Organization_University,Occupation_Salaried Worker,"Organization_School, N/A",Gender_Male,Organization_Company,Occupation_University Student,Relationship_Status_Married,Organization_School,Relationship_Status_In a relationship,"Organization_Company, Private",Gender_Female,Organization_Goverment,Relationship_Status_Single,Occupation_School Student,Organization_Private,"Organization_School, University, Private","Organization_University, Company, Private","Organization_University, N/A","Organization_University, Goverment, Private",TARGET
0.75,0.75,0.75,0.5,0.25,0.0,0.75,0.75,0.0,0.25,0.16666666666666666,0.2,0.75,0.25,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,2
0.5,0.0,0.5,0.5,0.25,0.5,0.75,0.25,0.75,0.5,0.14102564102564105,0.4,0.25,0.75,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,2
0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.25,0.25,0.051282051282051294,0.0,0.0,0.25,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,1
0.75,0.75,0.5,0.75,0.5,1.0,0.75,1.0,0.5,0.75,0.16666666666666666,0.6000000000000001,0.25,0.0,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,0
0.5,0.25,0.25,0.5,0.0,0.25,0.25,0.25,1.0,0.5,0.10256410256410256,0.6000000000000001,0.5,0.0,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,2
1.0,1.0,1.0,1.0,0.5,0.75,0.75,0.75,1.0,0.75,0.10256410256410256,1.0,0.75,0.5,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,0
1.0,1.0,0.75,1.0,0.5,1.0,0.75,0.25,0.25,1.0,0.10256410256410256,1.0,0.25,0.5,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,0
0.75,0.75,0.75,0.75,0.25,0.5,0.25,0.5,0.75,0.5,0.10256410256410256,0.8,0.0,0.25,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,2
0.75,0.5,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,0.10256410256410256,0.6000000000000001,0.5,1.0,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,0
0.0,0.5,0.25,0.25,0.0,0.0,0.25,0.0,0.5,0.75,0.2948717948717948,0.2,0.25,0.5,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,1
1.0,0.75,0.5,0.75,0.5,1.0,1.0,1.0,1.0,0.75,0.12820512820512822,1.0,0.5,0.0,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,0
0.25,0.5,0.5,0.5,0.0,0.25,0.5,0.25,0.75,0.25,0.3076923076923077,0.2,0.0,0.5,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,2
0.75,1.0,1.0,1.0,0.5,0.25,1.0,0.75,0.0,0.75,0.10256410256410256,1.0,1.0,0.5,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,0
0.75,0.75,0.5,1.0,0.75,1.0,1.0,0.5,0.25,0.75,0.11538461538461539,0.8,0.5,0.5,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0
0.5,0.25,0.5,0.25,0.25,0.5,0.0,0.25,0.25,1.0,0.28205128205128205,0.4,0.0,0.75,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,2
0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.75,1.0,0.4487179487179488,0.0,0.0,0.0,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.717948717948718,1.0,1.0,1.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
1.0,1.0,0.0,1.0,0.0,0.5,0.5,0.0,0.75,0.25,0.07692307692307693,0.4,0.0,0.5,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,2
0.5,0.5,0.75,0.25,0.0,0.0,1.0,1.0,0.75,0.25,0.08974358974358973,0.6000000000000001,0.5,0.75,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,2
0.25,0.25,0.0,0.25,0.0,0.0,0.75,0.5,0.5,0.5,0.4358974358974359,0.0,0.25,0.5,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,2
0.75,1.0,1.0,0.5,0.5,0.5,1.0,0.75,0.75,0.75,0.16666666666666666,0.4,0.75,0.0,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,0
0.5,0.0,1.0,0.5,1.0,0.75,1.0,0.5,0.75,0.5,0.12820512820512822,0.4,0.5,0.5,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,0
1.0,1.0,0.5,1.0,1.0,0.5,0.75,0.0,0.0,1.0,0.14102564102564105,1.0,0.0,0.5,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0
0.5,1.0,0.75,0.5,0.5,1.0,1.0,0.5,0.75,1.0,0.12820512820512822,1.0,0.5,0.75,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,0
1.0,0.5,0.75,1.0,0.25,1.0,0.5,0.75,0.5,0.5,0.10256410256410256,1.0,0.75,0.25,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,0
1.0,0.5,0.0,0.75,0.25,0.75,0.5,0.0,0.75,0.75,0.11538461538461539,0.4,0.0,0.5,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,2
0.0,0.5,0.0,0.25,0.25,0.5,0.25,0.5,0.25,1.0,0.6666666666666666,0.6000000000000001,0.5,0.75,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,2
0.5,0.25,0.75,0.5,0.5,0.75,0.5,0.75,0.25,0.75,0.28205128205128205,0.6000000000000001,0.75,0.75,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,2
0.25,0.75,0.5,0.75,0.25,0.25,0.25,0.0,1.0,0.5,0.12820512820512822,0.4,0.5,0.5,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,2
1.0,0.5,1.0,0.5,0.75,1.0,1.0,1.0,1.0,0.25,0.19230769230769232,0.6000000000000001,0.0,0.25,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,0
0.5,1.0,1.0,0.5,0.25,0.25,1.0,1.0,0.75,0.5,0.14102564102564105,0.8,0.5,0.25,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,0
1.0,0.25,0.0,0.0,0.0,1.0,0.0,0.25,0.0,0.25,0.2692307692307693,0.2,1.0,0.5,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,2
0.0,0.25,0.75,0.25,0.75,0.25,1.0,0.5,1.0,1.0,0.14102564102564105,1.0,0.75,0.25,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,2
0.25,0.25,0.25,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.10256410256410256,0.8,0.0,0.5,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,2
0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0.5,1.0,0.14102564102564105,1.0,0.5,0.5,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,2
0.5,0.5,0.75,0.5,0.5,0.75,0.5,0.5,0.0,0.5,0.07692307692307693,0.4,0.5,1.0,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,False,False,False,False,2
0.5,0.25,0.0,0.25,0.5,0.5,0.75,0.0,0.0,0.75,0.4358974358974359,0.4,0.0,0.25,False,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2
0.75,0.5,0.5,0.75,1.0,0.75,1.0,0.5,0.75,1.0,0.11538461538461539,1.0,0.75,0.5,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,0
0.25,0.0,0.75,0.25,0.0,0.25,0.75,0.0,0.5,0.25,0.10256410256410256,0.0,0.0,0.5,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,2
0.75,0.5,1.0,0.5,0.5,0.5,0.75,0.75,0.75,0.5,0.1794871794871795,0.6000000000000001,0.5,0.75,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,0
0.75,0.75,0.5,0.75,0.5,0.75,0.75,0.5,1.0,1.0,0.16666666666666666,1.0,0.25,0.5,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,0
1.0,0.5,1.0,0.75,0.5,0.5,1.0,0.75,0.5,0.5,0.11538461538461539,1.0,0.0,0.5,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,0
0.75,0.5,0.75,0.75,0.5,0.5,0.75,0.25,0.75,0.75,0.15384615384615383,1.0,0.25,0.25,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,2
0.0,0.0,0.5,0.0,0.0,0.0,0.75,0.0,0.5,0.25,0.14102564102564105,0.6000000000000001,0.0,0.5,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,1
1.0,0.75,0.5,1.0,0.75,0.75,1.0,0.75,0.75,0.75,0.10256410256410256,1.0,0.5,0.25,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,0
0.75,0.5,0.5,0.75,0.5,0.75,1.0,0.75,1.0,0.75,0.12820512820512822,1.0,0.25,0.5,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,0
0.5,0.5,1.0,0.5,0.25,1.0,0.75,0.75,1.0,1.0,0.10256410256410256,1.0,0.75,0.75,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,0
1.0,0.75,1.0,1.0,1.0,1.0,1.0,0.25,0.75,1.0,0.07692307692307693,0.6000000000000001,0.0,0.5,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,0
0.5,0.75,0.75,0.5,0.5,0.25,0.75,0.25,0.5,0.75,0.07692307692307693,0.6000000000000001,0.25,0.25,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,2
0.75,0.75,0.5,0.75,1.0,1.0,0.75,0.25,0.0,1.0,0.11538461538461539,1.0,0.25,0.5,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,0
0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.5,0.11538461538461539,0.6000000000000001,0.5,0.5,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,2
1.0,1.0,0.75,1.0,0.5,1.0,0.25,0.25,0.25,0.75,0.10256410256410256,0.4,0.75,0.5,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,0
0.5,0.5,1.0,0.5,0.5,0.75,0.5,1.0,0.75,0.5,0.051282051282051294,0.4,0.75,0.5,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,0
0.75,0.75,0.75,0.5,1.0,0.75,1.0,1.0,0.5,1.0,0.07692307692307693,0.6000000000000001,1.0,0.0,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,0
0.75,0.5,0.25,0.5,0.5,0.5,0.5,0.25,0.5,0.5,0.14102564102564105,0.4,0.5,0.5,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,2
0.25,0.75,0.0,0.25,0.75,0.0,0.25,0.5,0.75,0.25,0.10256410256410256,0.4,0.25,0.5,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,2
0.5,0.5,1.0,0.5,0.5,0.5,1.0,0.25,0.75,1.0,0.11538461538461539,1.0,0.75,0.5,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,0
0.5,0.25,1.0,0.5,0.25,0.25,0.75,0.0,0.75,0.5,0.10256410256410256,0.8,0.25,0.5,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,2
1.0,1.0,1.0,0.5,0.75,0.5,1.0,1.0,0.5,1.0,0.08974358974358973,1.0,0.75,0.0,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,0
0.5,1.0,0.5,0.5,0.0,0.5,1.0,0.75,0.0,0.75,0.051282051282051294,0.6000000000000001,0.0,0.25,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,2
1.0,0.25,1.0,0.75,0.25,0.75,1.0,1.0,1.0,1.0,0.12820512820512822,0.8,0.75,0.0,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,0
0.25,0.5,0.25,0.25,0.25,0.5,0.75,0.25,0.0,0.5,0.08974358974358973,0.6000000000000001,0.25,0.5,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,2
0.75,0.5,0.75,0.5,0.0,0.5,0.75,0.25,1.0,0.75,0.07692307692307693,0.6000000000000001,0.0,0.5,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,2
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11538461538461539,1.0,0.75,0.0,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,0
0.25,0.5,1.0,0.75,0.5,0.75,0.75,0.0,1.0,1.0,0.11538461538461539,0.2,0.0,0.0,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,2
0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.4487179487179488,0.4,0.0,0.0,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,1
0.5,0.5,0.75,0.25,0.0,0.25,0.75,0.5,0.0,0.75,0.34615384615384615,0.2,0.5,0.5,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,2
0.5,1.0,0.75,0.5,0.25,0.25,1.0,1.0,1.0,0.75,0.17564102564102566,1.0,0.5,0.25,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,0
1.0,1.0,1.0,0.5,0.25,0.5,1.0,1.0,0.0,0.75,0.08974358974358973,0.6000000000000001,1.0,1.0,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,0
0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.0,0.75,1.0,0.1794871794871795,1.0,0.0,0.5,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,2
0.5,0.5,0.75,0.75,0.25,0.5,0.75,0.75,0.75,0.75,0.12820512820512822,0.8,0.75,0.75,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,0
0.75,0.25,0.5,0.5,0.25,0.75,0.75,0.0,0.5,0.25,0.12820512820512822,0.8,0.0,0.5,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,2
0.25,0.5,0.75,0.5,0.25,0.5,1.0,0.5,0.0,0.75,0.14102564102564105,0.4,0.25,0.25,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,2
0.5,0.25,1.0,0.0,0.0,1.0,0.25,0.75,1.0,1.0,0.15384615384615383,0.2,0.5,1.0,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,0
0.75,0.5,0.5,0.0,0.25,0.5,0.75,0.25,0.5,1.0,0.10256410256410256,0.6000000000000001,0.25,0.5,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,2
0.75,0.5,0.25,0.75,1.0,0.75,0.25,0.5,0.75,0.75,0.11538461538461539,0.6000000000000001,0.75,0.5,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,0
0.5,0.25,0.25,0.75,0.5,0.25,0.25,0.75,0.75,0.5,0.4871794871794872,0.2,0.5,0.5,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,2
0.25,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.75,0.5,0.4358974358974359,0.4,0.0,0.5,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,2
0.5,0.5,0.0,0.5,0.75,0.75,0.5,0.25,0.25,0.5,0.10256410256410256,0.6000000000000001,0.5,1.0,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,2
1.0,1.0,1.0,0.75,0.75,1.0,1.0,0.25,0.75,0.75,0.11538461538461539,0.4,1.0,0.25,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,0
1.0,1.0,0.75,0.75,0.25,1.0,1.0,1.0,1.0,1.0,0.10256410256410256,0.2,1.0,0.0,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,0
0.75,0.75,0.75,0.75,0.5,1.0,0.75,0.5,0.5,0.75,0.10256410256410256,1.0,0.75,0.5,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,0
0.5,0.25,0.5,0.5,0.5,0.75,0.75,0.5,0.25,0.5,0.46153846153846156,0.0,0.5,0.5,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,2
0.5,0.25,1.0,0.5,0.0,0.5,1.0,1.0,0.0,0.25,0.0641025641025641,1.0,0.25,0.0,False,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,2
1.0,0.75,0.5,1.0,0.5,1.0,1.0,0.25,1.0,0.75,0.08974358974358973,1.0,0.0,0.5,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,0
0.75,0.25,0.25,0.5,0.25,0.75,0.5,0.5,0.75,1.0,0.11538461538461539,0.4,0.0,0.75,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,2
1.0,0.75,0.5,1.0,0.25,0.75,0.75,0.5,0.75,0.75,0.11538461538461539,0.6000000000000001,0.25,0.25,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,0
0.5,0.5,0.25,0.5,0.25,0.5,0.25,0.25,0.25,0.75,0.14102564102564105,0.6000000000000001,0.5,0.0,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,2
